,Unnamed: 0,station_name,station_name_kana,fuken_id,type,Latitude (degree),Latitude (minute),latitude,Longitude (degree),Longitude (minute),longitude,height,f_pre,f_wsd,f_tem,f_sun,f_snc,End_year,End_month,End_day,obs_ended,note1,note2,note3,note4,note5,amedas_id1,amedas_id2,station_name_roman
47767,1203,福山,フクヤマ,67,S,34,26.8,34.4466666667,133,14.8,133.246666667,1.9,Y,Y,Y,Y,Y,9999,99,99,,1970年4月16日までの地点名「松永」,,,,,67401.0,,Fukuyama
47768,1175,岡山,オカヤマ,66,S,34,39.6,34.66,133,55.0,133.916666667,2.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,66408.0,,Okayama
47769,1098,姫路,ヒメジ,63,S,34,50.3,34.8383333333,134,40.2,134.67,38.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,63383.0,,Himeji
47770,1103,神戸,コウベ,63,S,34,41.8,34.6966666667,135,12.7,135.211666667,5.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,63518.0,,Koube
47772,1075,大阪,オオサカ,62,S,34,40.9,34.6816666667,135,31.1,135.518333333,23.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,62078.0,62900.0,Oosaka
47776,1104,洲本,スモト,63,S,34,20.3,34.3383333333,134,54.3,134.905,109.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,63576.0,,Sumoto
47777,1140,和歌山,ワカヤマ,65,S,34,13.7,34.2283333333,135,9.8,135.163333333,13.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,65042.0,,Wakayama
47778,1149,潮岬,シオノミサキ,65,S,33,27.0,33.45,135,45.4,135.756666667,68.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,65356.0,,Shionomisaki
47800,1436,厳原,イヅハラ,84,S,34,11.8,34.1966666667,129,17.5,129.291666667,3.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,84072.0,,Iduhara
47805,1437,平戸,ヒラド,84,S,33,21.6,33.36,129,33.0,129.55,57.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,84171.0,,Hirado
47807,1391,福岡,フクオカ,82,S,33,34.9,33.5816666667,130,22.5,130.375,2.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,82182.0,82900.0,Fukuoka
47809,1389,飯塚,イイヅカ,82,S,33,39.1,33.6516666667,130,41.6,130.693333333,37.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,82136.0,,Iiduka
47812,1440,佐世保,サセボ,84,S,33,9.5,33.1583333333,129,43.6,129.726666667,3.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,84266.0,,Sasebo
47813,1469,佐賀,サガ,85,S,33,15.9,33.265,130,18.3,130.305,5.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,85142.0,,Saga
47814,1413,日田,ヒタ,83,S,33,19.3,33.3216666667,130,55.7,130.928333333,82.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,83137.0,,Hita
47815,1415,大分,オオイタ,83,S,33,14.1,33.235,131,37.1,131.618333333,4.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,83216.0,,Ooita
47817,1445,長崎,ナガサキ,84,S,32,44.0,32.7333333333,129,52.0,129.866666667,26.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,84496.0,,Nagasaki
47818,1446,雲仙岳,ウンゼンダケ,84,S,32,44.2,32.7366666667,130,15.7,130.261666667,677.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,84519.0,,Unzendake
47819,1483,熊本,クマモト,86,S,32,48.8,32.8133333333,130,42.4,130.706666667,37.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,86141.0,,Kumamoto
47823,1550,阿久根,アクネ,88,S,32,1.6,32.0266666667,130,12.0,130.2,40.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,88061.0,,Akune
47824,1493,人吉,ヒトヨシ,86,S,32,13.0,32.2166666667,130,45.3,130.755,145.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,86467.0,,Hitoyoshi
47827,1562,鹿児島,カゴシマ,88,S,31,33.2,31.5533333333,130,32.8,130.546666667,3.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,88317.0,,Kagoshima
47829,1531,都城,ミヤコノジヨウ,87,S,31,43.8,31.73,131,4.8,131.08,153.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,87426.0,,Miyakonojiyou
47830,1528,宮崎,ミヤザキ,87,S,31,56.3,31.9383333333,131,24.8,131.413333333,9.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,87376.0,,Miyazaki
47831,1569,枕崎,マクラザキ,88,S,31,16.3,31.2716666667,130,17.6,130.293333333,29.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,88466.0,,Makurazaki
